"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Audi","Q5","Camiones ligeros","SUV's",15842
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","BMW Group","M2","Automóviles","De Lujo",3656
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","BMW Group","Serie 2 Coupé","Automóviles","De Lujo",997
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","BMW Group","Serie 3","Automóviles","De Lujo",465
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",11097
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Chrysler","Jeep Compass-","Camiones ligeros","SUV's",11297
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Chrysler","Promaster","Camiones ligeros","SUV's",6142
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",1653
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",6711
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Ford Motor","Bronco Sport","Camiones ligeros","SUV's",13446
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","Ford Motor","Maverick","Camiones ligeros","Pick Ups",8694
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","General Motors","Aveo-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","General Motors","Blazer","Camiones ligeros","SUV's",779
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","General Motors","Blazer EV","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2023,"01","General Motors","Captiva Sport","Camiones ligeros","SUV's",0
