,project_name,coverage,year,monthid,stateid,veh_electric,veh_hybrid_plugin,veh_hybrid,veh_salesh,statedesc
0,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,1,1,0,0,2,2,Aguascalientes
1,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,2,1,0,0,2,2,Aguascalientes
2,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,3,1,1,0,10,11,Aguascalientes
3,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,4,1,0,0,4,4,Aguascalientes
4,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,5,1,0,0,3,3,Aguascalientes
5,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,6,1,0,0,17,17,Aguascalientes
6,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,7,1,0,0,11,11,Aguascalientes
7,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,8,1,0,0,3,3,Aguascalientes
8,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,9,1,0,0,7,7,Aguascalientes
9,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,10,1,0,0,2,2,Aguascalientes
10,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,11,1,0,0,4,4,Aguascalientes
11,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2016,12,1,0,0,2,2,Aguascalientes
12,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,1,1,0,0,3,3,Aguascalientes
13,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,2,1,0,0,6,6,Aguascalientes
14,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,3,1,0,0,5,5,Aguascalientes
15,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,4,1,0,0,4,4,Aguascalientes
16,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,5,1,0,0,7,7,Aguascalientes
17,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,6,1,0,0,5,5,Aguascalientes
18,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,7,1,0,0,0,0,Aguascalientes
19,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,8,1,0,0,9,9,Aguascalientes
20,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,9,1,0,0,0,0,Aguascalientes
21,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,10,1,0,0,1,1,Aguascalientes
22,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,11,1,0,0,7,7,Aguascalientes
23,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2017,12,1,0,0,4,4,Aguascalientes
24,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,1,1,0,0,6,6,Aguascalientes
25,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,2,1,0,0,12,12,Aguascalientes
26,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,3,1,0,0,9,9,Aguascalientes
27,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,4,1,0,0,9,9,Aguascalientes
28,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,5,1,0,0,4,4,Aguascalientes
29,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,6,1,0,0,9,9,Aguascalientes
30,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,7,1,0,0,13,13,Aguascalientes
31,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,8,1,0,0,5,5,Aguascalientes
32,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,9,1,0,0,16,16,Aguascalientes
33,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,10,1,2,0,15,17,Aguascalientes
34,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,11,1,0,0,14,14,Aguascalientes
35,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2018,12,1,0,0,14,14,Aguascalientes
36,Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos híbridos y eléctricos,Nacional,2019,1,1,0,0,17,17,Aguascalientes
